
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.4)

2023-11-22T15:24:49.319Z  INFO 2337 --- [           main] com.example.copro.CoProApplication       : Starting CoProApplication v0.0.1-SNAPSHOT using Java 17.0.8.1 with PID 2337 (/home/ubuntu/co-pro-0.0.1-SNAPSHOT.jar started by ubuntu in /home/ubuntu)
2023-11-22T15:24:49.329Z  INFO 2337 --- [           main] com.example.copro.CoProApplication       : The following 1 profile is active: "prod"
2023-11-22T15:24:51.741Z  INFO 2337 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-11-22T15:24:51.947Z  INFO 2337 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 189 ms. Found 4 JPA repository interfaces.
2023-11-22T15:24:53.711Z  INFO 2337 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8091 (http)
2023-11-22T15:24:53.740Z  INFO 2337 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-11-22T15:24:53.741Z  INFO 2337 --- [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.13]
2023-11-22T15:24:54.058Z  INFO 2337 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-11-22T15:24:54.063Z  INFO 2337 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4578 ms
2023-11-22T15:24:55.011Z  INFO 2337 --- [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-11-22T15:24:55.135Z  INFO 2337 --- [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.2.9.Final
2023-11-22T15:24:55.137Z  INFO 2337 --- [           main] org.hibernate.cfg.Environment            : HHH000406: Using bytecode reflection optimizer
2023-11-22T15:24:55.492Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@6813a331
2023-11-22T15:24:55.492Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@6813a331
2023-11-22T15:24:55.492Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@6813a331
2023-11-22T15:24:55.493Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@1bd81830
2023-11-22T15:24:55.493Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@1bd81830
