
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.4)

2023-11-22T15:32:36.807Z  INFO 2412 --- [           main] com.example.copro.CoProApplication       : Starting CoProApplication v0.0.1-SNAPSHOT using Java 17.0.8.1 with PID 2412 (/home/ubuntu/co-pro-0.0.1-SNAPSHOT.jar started by ubuntu in /home/ubuntu)
2023-11-22T15:32:36.813Z  INFO 2412 --- [           main] com.example.copro.CoProApplication       : The following 1 profile is active: "prod"
2023-11-22T15:32:39.232Z  INFO 2412 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-11-22T15:32:39.440Z  INFO 2412 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 190 ms. Found 4 JPA repository interfaces.
2023-11-22T15:32:41.183Z  INFO 2412 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8091 (http)
2023-11-22T15:32:41.209Z  INFO 2412 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-11-22T15:32:41.209Z  INFO 2412 --- [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.13]
2023-11-22T15:32:41.529Z  INFO 2412 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-11-22T15:32:41.535Z  INFO 2412 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4578 ms
2023-11-22T15:32:42.560Z  INFO 2412 --- [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-11-22T15:32:42.679Z  INFO 2412 --- [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.2.9.Final
2023-11-22T15:32:42.682Z  INFO 2412 --- [           main] org.hibernate.cfg.Environment            : HHH000406: Using bytecode reflection optimizer
2023-11-22T15:32:42.976Z DEBUG 2412 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@6813a331
2023-11-22T15:32:42.976Z DEBUG 2412 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@6813a331
2023-11-22T15:32:42.976Z DEBUG 2412 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@6813a331
2023-11-22T15:32:42.976Z DEBUG 2412 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@1bd81830
2023-11-22T15:32:42.976Z DEBUG 2412 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@1bd81830
